K,mean_std,n1,n_lt10,n_lt100,fraction1,fraction_lt10,fraction_lt100
1.000000000000000000e+02,5.831114766327472922e-03,0.000000000000000000e+00,2.000000000000000000e+00,1.800000000000000000e+01,0.000000000000000000e+00,7.192692224699704794e-05,4.474882091223888157e-03
2.000000000000000000e+02,4.588836245802115424e-03,1.100000000000000000e+01,3.700000000000000000e+01,7.900000000000000000e+01,5.651401033692625582e-05,6.422046629196165052e-04,1.027527460671386408e-02
3.000000000000000000e+02,3.923909852729982710e-03,2.800000000000000000e+01,7.400000000000000000e+01,1.470000000000000000e+02,1.438538444939940959e-04,1.130280206738525171e-03,1.760668303860420808e-02
4.000000000000000000e+02,3.471344017934259452e-03,3.300000000000000000e+01,1.010000000000000000e+02,2.080000000000000000e+02,1.695420310107787539e-04,1.767347232354784777e-03,2.491240328397776455e-02
5.000000000000000000e+02,3.169102322072828940e-03,4.700000000000000000e+01,1.430000000000000000e+02,2.800000000000000000e+02,2.414689532577758019e-04,2.599644475498607849e-03,3.180711254508276908e-02
6.000000000000000000e+02,2.917332983396375527e-03,6.700000000000000000e+01,1.880000000000000000e+02,3.580000000000000000e+02,3.442216993249144611e-04,3.390840620215575078e-03,3.908714460393954149e-02
7.000000000000000000e+02,2.686431731769279262e-03,8.000000000000000000e+01,2.230000000000000000e+02,4.270000000000000000e+02,4.110109842685545829e-04,4.033045283135191367e-03,4.559139342998941302e-02
8.000000000000000000e+02,2.533774018003242482e-03,9.800000000000000000e+01,2.640000000000000000e+02,5.040000000000000000e+02,5.034884557289793627e-04,4.680387583358164988e-03,5.491620513558224947e-02
9.000000000000000000e+02,2.431331049975736340e-03,1.150000000000000000e+02,3.180000000000000000e+02,5.920000000000000000e+02,5.908282898860471892e-04,5.481859002681846449e-03,6.350119706949168552e-02
1.000000000000000000e+03,2.302423135204519945e-03,1.260000000000000000e+02,3.570000000000000000e+02,6.740000000000000000e+02,6.473423002229735128e-04,6.211403499758531323e-03,7.180361895171648301e-02
