K,initial_a,initial_e,initial_w,backward_a,backward_e,backward_w,forward_a,forward_e,forward_w
1.000000000000000000e+02,2.567910906339634967e+05,5.699321974299066673e-02,2.856198533313950794e+00,4.444086900219626841e+03,3.605525112628869128e-02,4.321061052406170333e+00,4.960142971638912968e+03,3.990159837651897912e-02,1.107275307407516074e+01
2.000000000000000000e+02,1.701158581209556141e+05,4.240854026657287640e-02,2.436189937283129936e+00,3.634526445705412243e+03,2.945447309633479963e-02,3.688253295392448283e+00,4.483082630959987000e+03,3.630912741883787764e-02,9.281101979677023550e+00
3.000000000000000000e+02,1.546934180573677295e+05,3.563920452786369097e-02,2.195183678389196924e+00,3.032101344643578614e+03,2.451875112699533274e-02,3.291785939720601295e+00,4.029420145688711727e+03,3.260475432825279962e-02,8.383376814264535071e+00
4.000000000000000000e+02,1.384409827111148334e+05,3.146569242099662295e-02,1.935389371585304774e+00,2.610588675733049513e+03,2.108313032036165588e-02,2.898248924747505395e+00,3.680958660316442092e+03,2.955080899108351519e-02,7.425239296110793141e+00
5.000000000000000000e+02,1.378215945643555897e+05,2.915599161150742719e-02,1.809918874560815238e+00,2.413726005471485678e+03,1.944220327550250788e-02,2.630194508363161709e+00,3.374342363081284020e+03,2.719640732460612553e-02,6.846535390111706754e+00
6.000000000000000000e+02,1.262881044853124768e+05,2.758188449959374580e-02,1.687817085756013746e+00,2.261570346970164337e+03,1.821799123855586539e-02,2.441807922230633032e+00,3.055607181553104510e+03,2.468228492516090500e-02,6.272947169292807601e+00
7.000000000000000000e+02,1.226197848774989980e+05,2.547084094898850043e-02,1.536797291924307141e+00,2.047912074107440503e+03,1.651622441616668047e-02,2.266913746761102466e+00,2.822605221910750970e+03,2.275749800656298380e-02,5.782292666315315799e+00
8.000000000000000000e+02,1.139509445269506396e+05,2.366826199247225315e-02,1.447360163777533515e+00,1.941126148308859456e+03,1.564670884462639536e-02,2.122775082074258801e+00,2.741483958467551929e+03,2.214858775212438097e-02,5.601878196712331004e+00
9.000000000000000000e+02,1.106091967810912902e+05,2.264456253655868639e-02,1.389434761930643081e+00,1.802539524617606048e+03,1.456160407001871361e-02,2.011565046337748353e+00,2.616752322668053239e+03,2.111239127764928669e-02,5.317337314877359056e+00
1.000000000000000000e+03,1.008957085138980474e+05,2.164493552324424711e-02,1.289118303499573903e+00,1.728037519511165328e+03,1.395733971016208455e-02,1.815546443540699162e+00,2.509246713383111910e+03,2.027503309634337905e-02,5.018266790238210540e+00
