K,mean_std,n_clusters_eq1,n_clusters_lt10,n_clusters_lt100,traj_fraction_eq1,traj_fraction_lt10,traj_fraction_lt100
1.000000000000000000e+01,1.603226725032367433e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+01,1.305783753627020455e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+01,1.186722269312690849e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.030269312398260924e-05,1.030269312398260924e-05
4.000000000000000000e+01,1.146681428807064078e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.030269312398260924e-05,1.030269312398260924e-05
5.000000000000000000e+01,1.004631962907921727e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.151346561991304621e-06,5.151346561991304621e-06,5.151346561991304621e-06
6.000000000000000000e+01,9.870709554467664570e-03,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.151346561991304621e-06,5.151346561991304621e-06,5.151346561991304621e-06
7.000000000000000000e+01,9.679401068721137091e-03,1.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000000e+00,5.151346561991304621e-06,5.151346561991304621e-06,6.078588943149739300e-04
8.000000000000000000e+01,9.224898852214703793e-03,1.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+00,5.151346561991304621e-06,5.151346561991304621e-06,1.092085471142156556e-03
9.000000000000000000e+01,8.935149498277105209e-03,1.000000000000000000e+00,1.000000000000000000e+00,9.000000000000000000e+00,5.151346561991304621e-06,5.151346561991304621e-06,2.354165378830026020e-03
1.000000000000000000e+02,8.689428958687878124e-03,1.000000000000000000e+00,2.000000000000000000e+00,1.900000000000000000e+01,5.151346561991304621e-06,4.636211905792173905e-05,5.728297376934330352e-03
