K,backward_a,backward_e,backward_w,forward_a,forward_e,forward_w
1.000000000000000000e+01,7.048070843648651135e+03,5.758701963457475703e-02,7.184804030028299593e+00,3.449299380896436633e+05,1.895296526482056210e-01,6.521883931773123777e+01
2.000000000000000000e+01,5.676845768881840741e+03,4.650723414336285777e-02,6.527259424503042418e+00,3.360886219780089450e+05,1.869502227521487869e-01,6.202624166832293184e+01
3.000000000000000000e+01,4.673560312706045806e+03,3.783650823683452208e-02,6.370687677623007694e+00,3.356426104619865073e+05,1.737045947755804509e-01,6.374354538439836659e+01
4.000000000000000000e+01,4.204427058628109990e+03,3.378888818393215032e-02,6.128307501570302129e+00,3.261247028331122710e+05,1.723456591174519770e-01,6.120948562136761950e+01
5.000000000000000000e+01,4.157938079917395044e+03,3.364143189121442112e-02,5.953125055463680759e+00,3.252318025396696175e+05,1.709674560888855277e-01,5.906030436121451288e+01
6.000000000000000000e+01,4.098045868432416682e+03,3.319686379612144661e-02,5.693668221787263839e+00,3.210567393208084977e+05,1.693546916606672448e-01,6.102477955101702634e+01
7.000000000000000000e+01,4.093936650485260088e+03,3.319925693575513648e-02,5.584402992065018445e+00,3.213040992332381429e+05,1.689185155828360485e-01,6.131767033449951754e+01
8.000000000000000000e+01,3.968837849286605888e+03,3.218143230379498509e-02,5.477265813286073204e+00,3.094367742027842905e+05,1.650990351063983119e-01,5.871398199678612428e+01
9.000000000000000000e+01,3.854820243117519112e+03,3.122276447399964863e-02,5.430387066727648815e+00,3.146490301516916370e+05,1.649022346504621928e-01,5.765646105287586209e+01
1.000000000000000000e+02,3.810173800020499584e+03,3.087229705055907769e-02,5.502230418871027595e+00,2.945024107868123683e+05,1.638066026110010232e-01,5.598513413005188966e+01
