K,backward_eps,backward_e,backward_w,forward_eps,forward_e,forward_w
1.000000000000000000e+01,2.936545638010449877e-01,1.406140688526051064e-01,7.984876135051185031e+01,3.405957019217286108e-01,1.504659368568371791e-01,8.243654129999180213e+01
1.400000000000000000e+01,2.153117410852572744e-01,1.194800451054013474e-01,5.811093277702853044e+01,2.764609921085909305e-01,1.302068393477688046e-01,6.978914572194769050e+01
1.800000000000000000e+01,2.188032418628594877e-01,1.202235944764413755e-01,5.891168918185314141e+01,2.812753831574687502e-01,1.317589756354872188e-01,7.092933867955561311e+01
2.300000000000000000e+01,1.610479180331229887e-01,1.106385799050152996e-01,4.442878775874770270e+01,2.602536445128595943e-01,1.273639263701445978e-01,6.321148259537601888e+01
2.700000000000000000e+01,1.164672635997035244e-01,1.052013428323650274e-01,3.082419053691217314e+01,2.540070664766007624e-01,1.258989917498939404e-01,6.225693102359509368e+01
3.200000000000000000e+01,1.164254553810067788e-01,9.664004812379668741e-02,3.104766729604597231e+01,2.052890895817884864e-01,1.071396702744718127e-01,5.191079081893303737e+01
3.600000000000000000e+01,1.053736880552830352e-01,9.605906855864522476e-02,2.770472454120311667e+01,1.876023844333387647e-01,1.045004654452162257e-01,5.007263139451289646e+01
4.100000000000000000e+01,8.416651384296630622e-02,9.365795688896839943e-02,2.140968537421310813e+01,1.868487948005611854e-01,1.025384650929095781e-01,4.782628496805524776e+01
4.500000000000000000e+01,5.477867259075641648e-02,9.042248302758786049e-02,1.104523322424727105e+01,1.875808963602393353e-01,1.015635988861629674e-01,4.815777478698462488e+01
5.000000000000000000e+01,5.088950798909806089e-02,8.932324389311879775e-02,1.011995519017451173e+01,1.794548351267086506e-01,9.998997829053249409e-02,4.670463560122156110e+01
