K,backward_eps,backward_e,backward_w,forward_eps,forward_e,forward_w
1.000000000000000000e+01,4.052623919149749010e-02,8.821318265553031168e-02,6.736764077453173627e+00,1.185549832787919922e-01,9.459524854649548065e-02,3.218286425568533105e+01
1.400000000000000000e+01,3.693476253807832788e-02,8.313310458461448116e-02,6.021883594342919643e+00,7.328210124652306812e-02,8.214983573809915562e-02,2.624719132867339511e+01
1.800000000000000000e+01,3.439735364205551149e-02,7.934599315122083107e-02,5.483203808031511528e+00,8.894311538137275597e-02,8.781312518935356637e-02,2.665483301112827874e+01
2.300000000000000000e+01,3.112993893682784730e-02,7.273693583308432631e-02,5.200192121221830277e+00,7.853409652811615960e-02,8.594268636002277972e-02,2.443748262141929928e+01
2.700000000000000000e+01,2.673000586180734536e-02,6.111661084617985712e-02,5.147236326744669022e+00,5.460880997811828202e-02,7.528885346002901768e-02,2.097151964267694169e+01
3.200000000000000000e+01,2.558779549947290746e-02,5.860211721044022298e-02,5.018082629630893798e+00,5.757416197725904322e-02,6.893918916413824260e-02,2.112112401266685424e+01
3.600000000000000000e+01,2.506072833034012071e-02,5.819313097677279029e-02,4.901972521050658393e+00,4.639822832544915343e-02,6.614051565376849462e-02,1.919838040736943796e+01
4.100000000000000000e+01,2.456463122676803834e-02,5.737581518633278616e-02,4.856278245155836615e+00,4.494137284434302632e-02,6.525051553996236153e-02,1.903703710201184052e+01
4.500000000000000000e+01,2.354907430784563063e-02,5.463295749431532067e-02,4.775187592981775531e+00,4.713423183863227339e-02,6.447125991185424787e-02,1.903401411357416961e+01
5.000000000000000000e+01,2.373443357358043238e-02,5.533572269775224178e-02,4.640713051622063823e+00,4.379922442554117640e-02,6.267655420788252607e-02,1.850343189751177775e+01
