# x0 y0 z0 v0x v0y v0z Cj E_SOI h_min_periluneo h_perigeo
1.014538845492553687e+00 -9.189884000630883093e-03 0.000000000000000000e+00 1.071668648410351032e+00 2.570408886868035814e-01 0.000000000000000000e+00 2.600000000000004974e+00 4.231090950520155491e-02 2.398072749868836581e+03 2.492949734737599647e+04
9.765722273183812252e-01 -2.213286324785324749e-02 0.000000000000000000e+00 -1.657540336601406317e+00 -4.275127364145472897e-01 0.000000000000000000e+00 1.000000000000003553e+00 2.542889835752727978e-01 4.872700915525113487e+03 1.199469111420617628e+04
9.014196958722413555e-01 -3.317728737664481231e-02 0.000000000000000000e+00 -1.023436777466748993e+00 2.998566115334548310e-01 0.000000000000000000e+00 2.100000000000004974e+00 3.216683256774803545e-02 1.546928489135370546e+04 8.137144161597373022e+04
9.503554412328280021e-01 -6.764104443585697291e-02 0.000000000000000000e+00 -1.379183686252459573e+00 -1.751409292092881209e+00 0.000000000000000000e+00 -1.699999999999998845e+00 3.452679724896409730e-02 1.241516052204033031e+03 3.584798444310348714e+05
9.513127755857673229e-01 -2.654547279658222084e-02 0.000000000000000000e+00 -1.622491154691267257e+00 -7.491025902288935834e-01 0.000000000000000000e+00 3.000000000000029310e-01 1.001377729263860927e-01 1.758334130434907081e+02 2.206275439895359887e+04
1.024112236366454765e+00 -7.776572252017077691e-02 0.000000000000000000e+00 1.080595773438970175e+00 -1.942059298505083520e+00 0.000000000000000000e+00 -1.699999999999998845e+00 5.014490166873795951e-02 1.102700414016094555e+03 3.670562778105005273e+05
1.010495748301707408e+00 -8.451700743299081497e-02 0.000000000000000000e+00 4.312361247905309170e-01 3.813063360256793710e-01 0.000000000000000000e+00 2.900000000000005684e+00 1.721813780219905998e-01 2.796713330599183610e+04 3.413355192200178863e+05
9.473685109840832563e-01 -5.571727995110625081e-02 0.000000000000000000e+00 -1.486120864120525242e+00 -1.549353690400022909e+00 0.000000000000000000e+00 -1.299999999999998490e+00 2.937591090013257078e-02 2.204807894909862682e+02 3.362576746480020811e+05
1.017954460791229421e+00 -5.431081505702634038e-02 0.000000000000000000e+00 1.354898436288163310e+00 -1.584320958736857188e+00 0.000000000000000000e+00 -9.999999999999982236e-01 7.241246699232550821e-02 2.917724368639889235e+03 1.800245961268143146e+05
9.856703898572909406e-01 -7.599405829268919207e-03 0.000000000000000000e+00 -2.205244973575072542e+00 -5.121847243238387692e-01 0.000000000000000000e+00 9.000000000000034639e-01 6.168687393562062304e-01 7.571739084536603741e+02 1.262370454879957833e+03
9.806720444253370639e-01 -1.471593278011230042e-02 0.000000000000000000e+00 1.364271414615759737e+00 2.732710264324585414e-01 0.000000000000000000e+00 2.500000000000005329e+00 5.265182039680723625e-01 2.617357987378291455e+03 1.681024855288682738e+05
9.854413580729585176e-01 -1.961261515841753594e-02 0.000000000000000000e+00 -1.205681079309954828e+00 3.573700568311160564e-01 0.000000000000000000e+00 2.600000000000004974e+00 1.399486935289073475e-01 5.679330932486011079e+03 1.473465965994902654e+05
9.563078741021192597e-01 -7.430737727358585620e-02 0.000000000000000000e+00 1.392722691637966470e+00 -1.384006074523533192e+00 0.000000000000000000e+00 -5.999999999999978684e-01 8.383368253610093412e-02 3.279413657984008751e+03 1.184413704457553395e+05
9.861826145182552850e-01 -9.453288931675766713e-03 0.000000000000000000e+00 -2.131699219538711443e+00 -1.067240417461724711e+00 0.000000000000000000e+00 -1.999999999999975131e-01 5.638481191181807795e-01 1.018043688607911008e+03 5.037797651371970278e+04
9.576303044676344189e-01 -3.356179943557871526e-02 0.000000000000000000e+00 -1.617128766305535370e+00 -1.215404773292878549e+00 0.000000000000000000e+00 -5.999999999999978684e-01 1.213129240537050568e-01 3.747333935910759806e+02 2.238527973950121668e+05
1.115944170814897163e+00 -6.810915290542608747e-02 0.000000000000000000e+00 3.530484934303956823e-01 2.025046798960002115e-01 0.000000000000000000e+00 3.000000000000005329e+00 5.402210919299265529e-02 4.757401290590397548e+04 3.949571137292122003e+05
9.039445650689716949e-01 -3.912550644715753062e-02 0.000000000000000000e+00 -1.317371323777272396e+00 -1.892125071787291099e-02 0.000000000000000000e+00 1.500000000000003553e+00 7.339179236226001102e-02 8.767608073540086480e+03 8.598479553026603753e+03
9.449120273028106531e-01 -4.003982651595966447e-02 0.000000000000000000e+00 -9.866193968355618793e-01 3.122429749146296563e-01 0.000000000000000000e+00 2.300000000000004263e+00 4.477117069255732995e-02 1.107183156840584343e+04 6.090147595668815484e+03
9.442197755594660125e-01 -3.928436630356760967e-02 0.000000000000000000e+00 -1.597479506518060477e+00 -7.205295774427407096e-01 0.000000000000000000e+00 3.000000000000029310e-01 8.796713220556015567e-02 3.339380647377623063e+03 3.223379605254006310e+04
1.063174343541076095e+00 -1.159901114750663403e-01 0.000000000000000000e+00 1.114607719624492566e+00 -1.761777713837244352e+00 0.000000000000000000e+00 -1.199999999999998401e+00 2.674792069819095786e-02 2.089733917290417367e+02 3.472956654800377437e+05
1.010057447681746101e+00 -8.288124725030612816e-02 0.000000000000000000e+00 1.357918151542902185e+00 -1.375794319438240709e+00 0.000000000000000000e+00 -4.999999999999977796e-01 5.925925514697981400e-02 2.686538700390271515e+03 1.780765789865531551e+05
9.498311719304424194e-01 -2.107389473023128790e-02 0.000000000000000000e+00 -1.571824363930437229e+00 -4.942972150258682085e-01 0.000000000000000000e+00 8.000000000000033751e-01 1.086237678238416299e-01 8.889039935446318097e+00 5.572819020712006750e+04
1.043201766601001168e+00 -4.644607956848515601e-02 0.000000000000000000e+00 8.855018217666901226e-01 1.135396349714570957e-01 0.000000000000000000e+00 2.500000000000005329e+00 8.577029748717490687e-02 1.818082687556595920e+04 1.566702356097464799e+05
9.708806267956818781e-01 -3.061262949466082850e-02 0.000000000000000000e+00 -1.572996753489373845e+00 -1.540243688553462276e+00 0.000000000000000000e+00 -1.199999999999998401e+00 8.658763660411454566e-02 1.228375897428467169e+03 2.620617357873828150e+05
