# t_departure_s x_departure_km y_departure_km z_departure_km vx_departure_km_s vy_departure_km_s vz_departure_km_s t_maneuver_s dx_maneuver_km dy_maneuver_km dz_maneuver_km dvx_maneuver_km_s dvy_maneuver_km_s dvz_maneuver_km_s tof_s DV1_km_s DV2_km_s DVtotal_km_s E_SOI_km2_s2 h_moon_km
-4.714057226003633812e+06 -9.338393274169700817e+03 4.634903795993912354e+03 0.000000000000000000e+00 7.427887979522528994e+00 8.073585583147254496e+00 2.784481983158090395e-13 -2.475949203535252309e+05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.782728430585076573e-01 3.097236843526105510e-01 -9.902037901391582046e-15 4.466462305650108494e+06 3.214480407272480633e+00 3.573653133994943443e-01 3.571845720671975144e+00 1.824668519201502637e+00 1.067308915896131083e+01
-2.803446320821572095e+06 -7.245320814014028656e+03 7.423826847880472997e+02 0.000000000000000000e+00 6.068740708230754066e+00 -9.132664371857563523e+00 0.000000000000000000e+00 -1.338138001365188509e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -8.622105444735012059e-02 1.472028017947868694e-01 0.000000000000000000e+00 1.465308319456383353e+06 3.183441307506566176e+00 1.705952375837268831e-01 3.354036545090293142e+00 9.937082581826642835e-01 3.680541559926961099e+02
-3.194934825345708989e+06 -2.356416883393088028e+03 -3.073063974847686950e+02 0.000000000000000000e+00 6.579852220303017418e+00 -8.761774610463628932e+00 0.000000000000000000e+00 -1.482568371571411612e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -9.072462834259059639e-02 1.367259050696833511e-01 0.000000000000000000e+00 1.712366453774297144e+06 3.184496954698701199e+00 1.640881814910057912e-01 3.348585136189706990e+00 9.218294506319966164e-01 9.878084183861948304e+02
-3.216558284991432913e+06 -1.598653213019508030e+03 -1.112474274431240019e+03 0.000000000000000000e+00 7.629888188550748573e+00 -7.862290811402139923e+00 0.000000000000000000e+00 -1.642754782163767843e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.386086482419400800e-01 1.609248989705499289e-01 0.000000000000000000e+00 1.573803502827665070e+06 3.183750849068228028e+00 2.123892193030041398e-01 3.396140068371232168e+00 8.795556142202699546e-01 7.009139952600431798e+02
-2.912769645855181385e+06 -5.314289714512726277e+03 2.606594335161644267e+02 0.000000000000000000e+00 7.314296210907933471e+00 -8.161654640364352176e+00 0.000000000000000000e+00 -1.471689200828605099e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.393337031070249477e-01 1.733724706488774525e-01 0.000000000000000000e+00 1.441080445026576286e+06 3.181463717676435543e+00 2.224227830066255740e-01 3.403886500683061200e+00 8.500854449343945296e-01 8.512296776722135974e+02
-1.942536386325607542e+06 -8.225078024440634181e+03 -6.566641655838293445e+03 0.000000000000000000e+00 -4.009825882045253920e+00 1.019033928915710518e+01 0.000000000000000000e+00 -6.677559973170830635e+05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.295364303770009773e-02 -1.268662773804168087e-01 0.000000000000000000e+00 1.274780389008524595e+06 3.174758631076436188e+00 1.310762942938997477e-01 3.305834925370335853e+00 8.295048837507252859e-01 3.420379794754663294e+02
-1.841740311341612134e+06 -6.866240034133009431e+03 -7.382456880023330996e+03 0.000000000000000000e+00 -4.693722186476062319e+00 9.893959437034926196e+00 0.000000000000000000e+00 -7.030195162765246350e+05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.873009307570842275e-02 -1.582441790030389983e-01 0.000000000000000000e+00 1.138720795065087499e+06 3.172964285335249990e+00 1.687911254214131407e-01 3.341755410756662936e+00 8.118984520669673133e-01 2.663882778814054859e+02
-3.856627744051958434e+06 -5.433116984135403982e+01 2.265956531493454349e+03 0.000000000000000000e+00 9.713523305593575685e+00 5.125242196053939381e+00 0.000000000000000000e+00 -2.458317444055531174e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -2.501005920652898395e-01 -1.644308939317074558e-01 0.000000000000000000e+00 1.398310299996427493e+06 3.185992529734526624e+00 2.993122533919868600e-01 3.485304783126513595e+00 7.971995988495285124e-01 1.591072801243807078e+02
-1.568954494719078066e+06 -3.798274301333356561e+03 -6.338953668944866877e+03 0.000000000000000000e+00 -3.867327533585782184e+00 1.024975671705963975e+01 0.000000000000000000e+00 -5.495856944210825022e+05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.423453769589925921e-02 -1.519243694728634464e-01 0.000000000000000000e+00 1.019368800297995564e+06 3.167593868231035614e+00 1.582330823971303813e-01 3.325826950628166134e+00 7.850596841593471265e-01 2.367220780043986679e+02
-2.270138156370228622e+06 -7.728757011555570898e+03 -6.828904059999543279e+03 0.000000000000000000e+00 -9.645613607677763213e+00 5.198690538766515878e+00 0.000000000000000000e+00 -1.244352046685822774e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.786899028986788429e-01 -1.305966386033538817e-01 0.000000000000000000e+00 1.025786109684405965e+06 3.181425114938700727e+00 3.077719025385034501e-01 3.489197017477204010e+00 7.737203701687599411e-01 1.396857010787476838e+01
