# r0x r0y r0z v0x v0y v0z t0_days Cj DE DV Emax h_perigeo h_min_periluneo
-7.032300188658917323e+05 5.637583005214068107e+05 0.000000000000000000e+00 8.180822577691359010e-01 -1.128380443504791053e+00 0.000000000000000000e+00 -7.108498991592781385e+05 6.900000000000000577e-01 1.086341190863215456e+00 2.010611212224665323e+00 5.422896849297786925e-01 3.682471456611601752e+02 2.630069688571573352e+03
9.162783595215496607e+05 -9.938844271388062043e+04 0.000000000000000000e+00 -1.015273968862579590e+00 3.222512187489408042e-01 0.000000000000000000e+00 -4.115446784606347210e+05 7.399999999999999911e-01 7.027325408825256803e-01 2.138917270788171621e+00 1.265610151277334616e-01 7.901173432538671477e+02 4.195925772461150700e+03
8.113489559760496486e+05 -3.087898898488882696e+05 0.000000000000000000e+00 -1.287827071418122582e+00 1.135785242875009926e+00 0.000000000000000000e+00 -2.618920681113130122e+05 7.399999999999999911e-01 1.591796576177548550e+00 1.727647777309874400e+00 1.017887486862282032e+00 6.263214793180814013e+02 2.466472687082443372e+03
9.150197567896654364e+05 -1.000957160871429951e+05 0.000000000000000000e+00 -1.011944902928465728e+00 3.238693024608640947e-01 0.000000000000000000e+00 -4.115446784606347210e+05 7.500000000000000000e-01 7.027535613645183865e-01 2.015278244416889741e+00 1.232081370107328544e-01 6.553768858664643631e+02 4.149123768216770259e+03
8.104459009772504214e+05 -3.087792319073409308e+05 0.000000000000000000e+00 -1.284226641672094216e+00 1.135681490363883439e+00 0.000000000000000000e+00 -2.618920681113130122e+05 7.500000000000000000e-01 1.588362739963136372e+00 1.723513508471458344e+00 1.012723105241058796e+00 3.775265705096571764e+02 2.325860829971270960e+03
9.137583167031484190e+05 -1.008043683191046002e+05 0.000000000000000000e+00 -1.008607727281007005e+00 3.254899796887593677e-01 0.000000000000000000e+00 -4.115446784606347210e+05 7.600000000000000089e-01 7.027743234523469162e-01 1.907603345913192250e+00 1.198594524292845576e-01 5.216162130570583031e+02 4.105478304374281834e+03
9.124940208479715511e+05 -1.015144076683560270e+05 0.000000000000000000e+00 -1.005262387991806561e+00 3.271132628104127527e-01 0.000000000000000000e+00 -4.115446784606347210e+05 7.700000000000000178e-01 7.027948000914442384e-01 1.813467081414587234e+00 1.165149890355873658e-01 3.888421991861359857e+02 4.065094418076492730e+03
9.112268506129634334e+05 -1.022258424777905457e+05 0.000000000000000000e+00 -1.001908830552910024e+00 3.287391643056753465e-01 0.000000000000000000e+00 -4.115446784606347210e+05 7.800000000000000266e-01 7.028149114616286663e-01 1.730606046644925122e+00 1.131747747849271152e-01 2.570617718848116056e+02 4.028074689799532280e+03
-6.817457300643899944e+05 6.046193078681789339e+05 0.000000000000000000e+00 7.063665509443737278e-01 -1.111095902330724527e+00 0.000000000000000000e+00 -7.482630517466085730e+05 8.699999999999999956e-01 1.080479610997307383e+00 1.776869097829337996e+00 4.423005761681413350e-01 3.541103281822752251e+02 1.581108883280519876e+03
-6.788067116857289802e+05 6.045219248517986853e+05 0.000000000000000000e+00 7.007595205632621838e-01 -1.110650007405917794e+00 0.000000000000000000e+00 -7.482630517466085730e+05 8.800000000000000044e-01 1.083041998331043310e+00 1.889309172857180030e+00 4.366980071654052997e-01 5.609562491984006556e+02 1.574195242745851374e+03
-6.758612168858103687e+05 6.044207209679402877e+05 0.000000000000000000e+00 6.951349719758512791e-01 -1.110192557454150464e+00 0.000000000000000000e+00 -7.482630517466085730e+05 8.900000000000000133e-01 1.085505636518470984e+00 1.714458590801740456e+00 4.310945965032691451e-01 7.634029995579949173e+02 1.574328670621370293e+03
8.412032413583134767e+05 -3.195213279791928362e+05 0.000000000000000000e+00 -1.204255670945994616e+00 1.038573827859208931e+00 0.000000000000000000e+00 -2.993052206986434176e+05 9.300000000000000488e-01 1.497061962497637788e+00 1.760090215635456090e+00 8.217809422355091264e-01 7.559365658896949753e+02 3.182786716946343972e+02
