# r0x r0y r0z v0x v0y v0z t0_days Cj DE DV Emax h_perigeo h_min_periluneo
8.678143044533786451e+03 2.052776379906143120e+04 0.000000000000000000e+00 5.438188885249395810e+00 2.215619078412053966e+00 0.000000000000000000e+00 -1.462595320717117866e+05 0.000000000000000000e+00 2.792629285675266582e-01 1.700651226977114128e+00 9.716206416451711458e-02 3.471525440625928240e+02 1.207877403858016078e+04
-2.683045621201354152e+02 1.692352640742008225e+04 0.000000000000000000e+00 6.006473599604854385e+00 3.794092480855947525e+00 0.000000000000000000e+00 -1.500097764838069561e+05 1.000000000000000021e-02 3.999961346211167723e-01 2.064632954180190438e+00 2.064406786554083550e-01 7.857735294299909583e+02 8.258714989068759678e+03
9.331368805534386411e+03 2.063327056513618300e+04 0.000000000000000000e+00 5.402362047786285260e+00 2.143771121431598203e+00 0.000000000000000000e+00 -1.462595320717117866e+05 1.000000000000000021e-02 2.794981411412009176e-01 1.682367045655764670e+00 9.368062062761567388e-02 2.418235241372640303e+02 1.209860473070051921e+04
4.269237463921581366e+02 1.719507177790080823e+04 0.000000000000000000e+00 5.985068969589654841e+00 3.634850665090798572e+00 0.000000000000000000e+00 -1.500097764838069561e+05 2.000000000000000042e-02 4.003014743960811028e-01 2.034056367064642323e+00 2.030663147064349083e-01 6.743565076240929557e+02 8.292481163885735441e+03
1.125327021350653013e+03 1.745232197983741935e+04 0.000000000000000000e+00 5.959117505449006202e+00 3.483581637939780151e+00 0.000000000000000000e+00 -1.500097764838069561e+05 2.999999999999999889e-02 4.006076878752255488e-01 2.004149394709688004e+00 1.996954024727251864e-01 5.636206186434701522e+02 8.327182428955275100e+03
1.826352198701506495e+03 1.769575119615349831e+04 0.000000000000000000e+00 5.929322891819246877e+00 3.339989184269930078e+00 0.000000000000000000e+00 -1.500097764838069561e+05 4.000000000000000083e-02 4.008077424432769931e-01 1.974938936230568487e+00 1.962209396761513125e-01 4.535700219234904580e+02 8.362814119843347726e+03
-6.741116504199883821e+03 1.186472905487691787e+04 0.000000000000000000e+00 5.957503551787588947e+00 6.425599070532610035e+00 0.000000000000000000e+00 -1.537600208959021256e+05 5.000000000000000278e-02 6.796589550064794372e-01 2.552628466452318889e+00 4.650806604874702099e-01 7.908420909267961179e+02 4.804209266226414002e+03
2.529506358975738294e+03 1.792583396510938474e+04 0.000000000000000000e+00 5.896305408546892224e+00 3.203750497468626612e+00 0.000000000000000000e+00 -1.500097764838069561e+05 5.000000000000000278e-02 4.011156328664510773e-01 1.946441324984091281e+00 1.928569283942339063e-01 3.442088897543735584e+02 8.399371411538288157e+03
-6.061465308260465463e+03 1.239387193281303189e+04 0.000000000000000000e+00 6.071396946989802146e+00 6.095756256740271439e+00 0.000000000000000000e+00 -1.537600208959021256e+05 5.999999999999999778e-02 6.796765140382490245e-01 2.505416519695984334e+00 4.614644480834527163e-01 6.760542407315697346e+02 4.865625254404562838e+03
3.234351371877221482e+03 1.814304047593627547e+04 0.000000000000000000e+00 5.860609142133147209e+00 3.074527444398348131e+00 0.000000000000000000e+00 -1.500097764838069561e+05 5.999999999999999778e-02 4.014243822091589919e-01 1.918664250301366891e+00 1.894964227209463559e-01 2.355414051763182215e+02 8.436849326177849434e+03
-5.364381328337041850e+03 1.289663867866231521e+04 0.000000000000000000e+00 6.156430762452831829e+00 5.777553144155901599e+00 0.000000000000000000e+00 -1.537600208959021256e+05 7.000000000000000666e-02 6.796941565150221853e-01 2.457677151404961791e+00 4.578509207339327425e-01 5.619934556873913607e+02 4.928181921373253317e+03
